11-12,0755,1715
11-13,0756,1713
11-14,0758,1712
11-15,0800,1711
11-16,0801,1710
11-17,0803,1709
11-18,0804,1707
11-19,0806,1706
11-20,0807,1705
11-21,0809,1704
11-22,0810,1703
11-23,0812,1702
11-24,0813,1702
11-25,0814,1701
11-26,0816,1700
11-27,0817,1659
11-28,0819,1659
11-29,0820,1658
11-30,0821,1657
12-01,0823,1657
12-02,0824,1656
12-03,0825,1656
12-04,0826,1655
12-05,0827,1655
12-06,0829,1655
12-07,0830,1654
12-08,0831,1654
12-09,0832,1654
12-10,0833,1654
12-11,0834,1654
12-12,0835,1654
12-13,0836,1654
12-14,0836,1654
12-15,0837,1654
12-16,0838,1654
12-17,0839,1655
12-18,0839,1655
12-19,0840,1655
12-20,0841,1656
12-21,0841,1656
12-22,0842,1657
12-23,0842,1657
12-24,0843,1658
12-25,0843,1659
12-26,0843,1659
12-27,0843,1700
12-28,0844,1701
12-29,0844,1702
12-30,0844,1702
12-31,0844,1703
